Date,Visitor,Home,Time,Location,Week
12/21/2025,New England,@ Baltimore,10:00 AM,"M&T Bank Stadium, Baltimore, MD",16
12/21/2025,Jacksonville,@ Denver,1:05 PM,"Empower Field at Mile High, Denver, CO",16
12/21/2025,Atlanta,@ Arizona,1:05 PM,"State Farm Stadium, Glendale, AZ",16
12/21/2025,Pittsburgh,@ Detroit,1:25 PM,"Ford Field, Detroit, MI",16
12/21/2025,Las Vegas,@ Houston,1:25 PM,"NRG Stadium, Houston, TX",16
12/21/2025,Cincinnati,@ Miami,5:20 PM,"Hard Rock Stadium, Miami Gardens, FL",16
12/22/2025,San Francisco,@ Indianapolis,5:15 AM,"Lucas Oil Stadium, Indianapolis, IN",16
12/25/2025,Dallas,@ Washington,10:00 AM,"Northwest Stadium, Landover, MD",17
12/25/2025,Detroit,@ Minnesota,1:30 PM,"U.S. Bank Stadium, Minneapolis, MN",17
12/25/2025,Denver,@ Kansas City,5:15 PM,"GEHA Field at Arrowhead Stadium, Kansas City, MO",17
12/27/2025,Houston,@ Los Angeles1,1:30 PM,"SoFi Stadium, Inglewood, CA",17
12/27/2025,Baltimore,@ Green Bay,5:00 PM,"Lambeau Field, Green Bay, WI",17
12/28/2025,Arizona,@ Cincinnati,10:00 AM,"Paycor Stadium, Cincinnati, OH1",17
12/28/2025,Pittsburgh,@ Cleveland,10:00 AM,"Huntington Bank Field, Cleveland, OH",17
12/28/2025,New Orleans,@ Tennessee,10:00 AM,"Nissan Stadium, Nashville, TN",17
12/28/2025,Jacksonville,@ Indianapolis,10:00 AM,"Lucas Oil Stadium, Indianapolis, IN",17
12/28/2025,Tampa Bay,@ Miami,10:00 AM,"Hard Rock Stadium, Miami Gardens, FL",17
12/28/2025,New England,@ New York2,10:00 AM,"MetLife Stadium, East Rutherford, NJ",17
12/28/2025,Seattle,@ Carolina,10:00 AM,"Bank of America Stadium, Charlotte, NC",17
12/28/2025,New York1,@ Las Vegas,1:05 PM,"Allegiant Stadium, Las Vegas, NV",17
12/28/2025,Philadelphia,@ Buffalo,1:25 PM,"Highmark Stadium, Orchard Park, NY",17
12/28/2025,Chicago,@ San Francisco,5:20 PM,"Levi's Stadium, Santa Clara, CA",17
12/29/2025,Los Angeles2,@ Atlanta,5:15 PM,"Mercedes-Benz Stadium, Atlanta, GA",17
01/03/2026,Carolina,@ Tampa Bay,1:30 PM,"Raymond James Stadium, Tampa, FL",18
01/03/2026,Seattle,@ San Francisco,5:00 PM,"Levi's Stadium, Santa Clara, CA",18
01/04/2026,New Orleans,@ Atlanta,10:00 AM,"Mercedes-Benz Stadium, Atlanta, GA",18
01/04/2026,Cleveland,@ Cincinnati,10:00 AM,"Paycor Stadium, Cincinnati, OH",18
01/04/2026,Green Bay,@ Minnesota,10:00 AM,"U.S. Bank Stadium, Minneapolis, MN",18
01/04/2026,Dallas,@ New York1,10:00 AM,"MetLife Stadium, East Rutherford, NJ",18
01/04/2026,Tennessee,@ Jacksonville,10:00 AM,"EverBank Stadium, Jacksonville, FL",18
01/04/2026,Indianapolis,@ Houston,10:00 AM,"NRG Stadium, Houston, TX",18
01/04/2026,New York2,@ Buffalo,1:25 PM,"Highmark Stadium, Orchard Park, NY",18
01/04/2026,Detroit,@ Chicago,1:25 PM,"Soldier Field, Chicago, IL",18
01/04/2026,Los Angeles1,@ Denver,1:25 PM,"Empower Field at Mile High, Denver, CO",18
01/04/2026,Kansas City,@ Las Vegas,1:25 PM,"Allegiant Stadium, Las Vegas, NV",18
01/04/2026,Arizona,@ Los Angeles2,1:25 PM,"SoFi Stadium, Inglewood, CA",18
01/04/2026,Miami,@ New England,1:25 PM,"Gillette Stadium, Foxborough, MA",18
01/04/2026,Washington,@ Philadelphia,1:25 PM,"Lincoln Financial Field, Philadelphia, PA",18
01/04/2026,Baltimore,@ Pittsburgh,5:20 PM,"Acrisure Stadium, Pittsburgh, PA",18
01/10/2026,Los Angeles2,@ Carolina,1:30 PM,Bank of America Stadium,19	
01/10/2026,Green Bay,@ Chicago,5:00 PM,Soldier Field,19	
01/11/2026,Buffalo,@ Jacksonville,10:00 AM,EverBank Stadium,19		
01/11/2026,San Francisco,@ Philadelphia,1:30 PM,Lincoln Financial Field,19	
01/11/2026,Los Angeles1,@ New England,5:00 PM,Gillette Stadium,19		
01/12/2026,Houston,@ Pittsburgh,5:15 PM,Acrisure Stadium,19
01/17/2026,Buffalo,@ Denver,1:30 PM,Empower Field at Mile High,20
01/17/2026,San Francisco,@ Seattle,5:00 PM,Lumen Field,20
01/18/2026,Houston,@ New England,12:00 PM,Gillette Stadium,20
01/18/2026,Los Angeles2,@ Chicago,3:30 PM,Soldier Field,20
01/25/2026,New England,@ Denver,12:00 PM,Empower Field at Mile High,21
01/25/2026,Los Angeles2,@ Seattle,3:30 PM,Lumen Field,21
02/08/2026,Patriots,@ Seattle,3:30 PM,Levi's Stadium,22
